Title,Content,newsType,time
"World's tourist hubs, 'ghost towns' for how long?","The coronavirus pandemic has brought the world's top tourist draws, from the ruins of Machu Picchu to Thailand's sandy beaches, to a standstill.",BUSINESS,10:50
"US clamps down on China tech, blacklists CNOOC","WASHINGTON: The US government on Thursday ramped up sanctions and restrictions on Chinese firms over Beijing's actions in the disputed South China Sea, and the security threat posed by technology.",BUSINESS,08:45
Hoteliers hesitant to embrace ASQ scheme,Hoteliers are delaying their decisions on whether to join the alternative state quarantine (ASQ) programme as the emergence of new local cases has slowed down bookings.,BUSINESS,06:43
FTI warns tyre AD will hit industry,The Federation of Thai Industries expects the US decision to impose anti-dumping duties on car tyres exported from Thailand to seriously affect Thai industries.,BUSINESS,05:51
Biden to unveil $1.9tn economic plan as US recovery buckles,WASHINGTON: President-elect Joe Biden will unveil a plan Thursday to inject US$1.9 trillion into the US economy as evidence mounts that the recovery from the sharp downturn caused by Covid-19 is flagging.,BUSINESS,05:45
Tourism fee to help insure foreigners visiting the kingdom,The National Tourism Policy Committee has approved the proposed guidelines for the collection of a 300-baht tourism fee from each international visitor.,BUSINESS,05:00
Grab leading in food delivery,"Grab commands 50% of the market share among online food delivery apps in terms of gross merchandise value (GMV), followed by Foodpanda at 23% and Lineman 20%, according to the consultancy Momentum Works (MW).",BUSINESS,04:06
Great Wall surveys potential EV buyers in Thailand,Chinese automaker Great Wall Motor (GWM) has started a campaign to promote electric vehicles (EVs) by jointly conducting a survey with the National Institute of Development Administration (Nida) on Thai motorists' perceptions of the technology.,BUSINESS,04:02
Private sector to help with virus control,The Thai Chamber of Commerce and Board of Trade of Thailand want to help Prime Minister Prayut Chan-o-cha curb the Covid-19 outbreak by having the private sector play a greater role.,BUSINESS,04:00
PTG in B4.5bn growth drive,"PTG Energy Plc, Thailand's second largest fuel trader by sales volume, is planning 4.5 billion baht in capital spending this year to expand petrol and liquefied petroleum (LPG) refilling stations and grow its Coffee World and Pun Thai cafes, says executive vice-president Rangsun Puangprang.",BUSINESS,04:00
Government pledges to press on with DSEZ,"The government remains adamant it is continuing its long-delayed Dawei special economic zone (DSEZ) project and vows to find solutions to obstacles at a tripartite meeting between Thailand, Japan and Myanmar.",BUSINESS,04:00
